Hoover,Garrison,Glen_Canyon,Oahe,Fort_Peck,Grand_Coulee,Kentucky,Sam_Rayburn,Wolf_Creek,Libby_Dam,Bull_Shoals,Harry_S_Trauman,Denison,Toledo_Bend,Shasta,Flaming_Gorge,Eufaula_Lake,J_Storm_Thurmond,Blakely_Mountain,Oroville,Table_Rock,Hartwell,John_H_Kerr,Norris,New_Melones
157.3112068,427.8061153,286.277383,745.8712944,151.6525888,3269.832985,1064.51912,8.5516736,195.4760966,165.7600749,44.50792525,93.32966321,80.54950303,129.2676308,178,29.3265,14.29043344,144.5,17.13315763,140,52.756,48.838,244.7843108,73.50193199,27.45239868
190.4612068,451.0561153,311.549383,770.2927944,169.7125888,3344.832985,1083.393605,8.7215744,201.7700966,145.9195749,46.91913325,99.39866321,79.99271803,129.2676308,178,25.65,18.42293344,149.45,13.92165763,140,50.2,46.6,205.3892108,71.13290799,30.12059868
157.3112068,474.3061153,286.277383,794.7142944,187.7725888,3269.832985,1028.490605,8.8065248,195.4760966,143.1230749,52.58463325,105.4676632,74.26211803,129.2676308,178,25.65,15.8857248,144.5,17.13315763,140,51.21644828,46.6,193.1933183,68.53490799,28.21960471
188.4882068,497.5561153,309.744863,819.1357944,205.8325888,3250.635985,1039.149595,9.1463264,197.0110966,123.3375749,58.25013325,111.5366632,68.53151803,129.2676308,178,29.3265,13.45048,139.55,20.34465763,140,53.77244828,48.838,210.3446598,65.93690799,30.88780471
189.8092068,520.8061153,311.107983,834.7167944,218.5435888,3325.635985,1094.052595,9.344544,203.3050966,126.2040749,63.54109485,117.6056632,71.80949903,129.2676308,178,33.003,17.58298,144.5,23.55615763,140,51.21644828,46.6,201.9540013,63.33890799,33.55600471
169.5832068,544.0561153,290.924103,859.1382944,200.4835888,3250.635985,1092.569585,5.683054278,209.5990966,129.0715749,57.87559485,123.6746632,77.54009903,129.2676308,178,29.3265,13.45048,149.45,26.76765763,140,50.2,46.6,170.2013428,65.93690799,36.22420471
202.7332068,522.8901153,316.196103,883.5597944,182.4235888,3304.812985,1147.472585,11.1001856,215.8930966,129.1070749,52.21009485,117.6056632,78.62463303,134.6121308,178,33.003,9.31798,154.4,29.97915763,140,50.2,46.6,186.1636843,68.53490799,38.89240471
169.5832068,546.1401153,290.924103,899,167.1755184,3229.812985,1202.375585,12.1195904,209.5990966,117.8155749,46.54459485,111.5366632,80.05002403,136.3260641,178,29.3265,13.45048,149.45,33.19065763,140,50.2,46.6,171.1750258,65.93690799,38.09023081
147.5972068,569.3901153,269.064463,899,167.1454184,3154.812985,1234.44607,13.3655296,203.3050966,117.8510749,52.21009485,105.4676632,78.92690303,136.3260641,178,25.65,16.4952027,144.5,36.40215763,140,52.756,46.6,131.7799258,63.33890799,40.75843081
180.7472068,592.6401153,294.336463,891.3507944,167.1153184,3106.969985,1179.54307,13.1956288,197.0110966,139.1510749,57.87559485,99.39866321,73.19630303,136.3260641,178,25.65,18.1658939,139.55,39.61365763,140,55.312,48.838,171.1750258,60.74090799,43.42663081
147.5972068,615.8901153,269.064463,866.9292944,167.0852184,3031.969985,1124.64007,12.5443424,190.7170966,132.0810749,63.54109485,99.93579407,67.46570303,136.3260641,178,25.65,15.7589659,134.6,42.82515763,140,57.868,46.6,143.7090503,58.14290799,46.09483081
180.7472068,636.1581153,294.336463,842.5077944,167.0551184,3106.969985,1069.73707,11.8364224,184.4230966,153.3810749,63.54109485,93.86679407,73.19630303,136.3260641,178,29.3265,12.4175835,139.55,46.03665763,140,60.424,46.6,149.4763918,55.54490799,48.76303081
147.5972068,636.1581153,269.064463,866.9292944,167.0250184,3163.978985,1014.83407,10.7320672,178.1290966,140.6470749,57.87559485,87.79779407,67.46570303,136.3260641,178,25.65,9.416002696,144.5,48.22799263,140,62.98,46.6,161.0487333,52.94690799,51.43123081
154.0302068,612.9081153,275.708063,891.3507944,148.9650184,3169.766985,959.9310697,9.7976128,171.8350966,123.6925749,52.21009485,83.82333487,61.73510303,136.3260641,178,29.3265,7.603727496,139.55,45.01649263,140,65.536,46.6,161.0400748,50.34890799,54.09943081
187.1802068,607.8411153,300.980063,899,138.6478184,3155.733985,905.0280697,9.1180096,165.5410966,132.2230749,46.54459485,78.16015487,56.00450303,136.3260641,178,25.65,7.292242696,144.5,41.80499263,140,68.092,46.6,153.8384163,47.75090799,55.16264481
